ILMN_1757379	ILMN_1706935	ILMN_1715748	ILMN_1678308	ILMN_1670576	ILMN_1730679	ILMN_1684114	ILMN_1688124	ILMN_1749403	ILMN_1782098
NA19207	6.84486772437904	7.31224591097588	7.05686651327887	10.6054741441695	8.67300919164595	10.1486611147918	12.5938665418434	6.63803838997851	12.9158713893374	6.99668301296637
NA19209	6.95179591628319	7.83993750213323	7.53747662927141	11.4302484498636	10.0060554198567	10.4468698449427	12.8407859008073	6.49258598962248	14.0464175364747	7.35574725331999
NA19210	7.12424355050231	8.09017782212817	7.87075952802964	11.3101113561495	8.02571275613667	10.724378621925	13.0594439862627	6.68209407408801	14.2247008029705	7.84337303016756
NA19213	6.93209644308729	7.21391683042385	7.02436784124988	10.9542640339518	9.05167883684611	10.0694955929246	13.1055906304008	6.65761758088359	12.6044239691074	7.43025890592723
NA19214	6.90855818180207	7.35902562249797	7.5682814755812	11.8907113915117	7.73131033012363	10.6911231806293	13.8179645593931	6.7511446930111	14.024952102916	7.57568930794049
NA19222	6.95136765757077	8.20559606308812	7.56295738338052	11.7753424053638	11.1329743369585	11.4564123871479	13.5780692416872	6.46065383469552	14.0993358935394	7.83981322955628
NA19223	7.00652203600487	7.38546026207696	7.0855687386699	10.8607826165411	8.87718630175262	10.5607414845899	12.7937371993264	6.59769122826793	13.5333268222556	7.45108179105476
NA19225	7.06992137298426	7.31371645243344	7.01970286903226	11.0602875133491	9.02372668800471	10.1638878394833	12.5983772623188	6.71229193129381	12.4011732779408	7.09251109029962
NA19235	6.99258846538518	7.25187062414263	7.19690976064237	10.5663248901458	8.97992592668199	9.81248364306318	12.8330803195819	6.68434809049685	12.649067141518	7.29457752959865
NA19236	6.88253371316971	7.32857845234823	7.13113870287751	10.8790705997847	9.2101947662752	9.92072265890179	12.9701299557762	6.67092658096883	13.3866783193509	7.61518155973137
NA19238	6.86795953124569	7.57898201439732	7.03557447091845	10.7349684482981	9.05504997526215	10.5421914323695	12.1938819523421	6.61011238777986	13.2490918701163	7.52865229929027
NA19239	6.9659951157466	7.40763393155517	7.20118282168248	11.0104605939186	7.50317409012649	10.4007805760668	13.1604558138557	6.54623721429958	12.947726131104	7.16700610315577
NA19247	6.84834137348753	7.39343357691063	7.02524805021236	11.4543235396284	9.25912470263524	10.3129701245598	13.3151119120657	6.70381226908342	13.0696002617032	7.46395278589141
NA19248	6.87545779245902	7.4260245681037	6.85711751641611	11.6483473514441	9.3312997656692	10.5106474247126	13.6592105678275	6.67829191909457	13.4603796572063	7.38408930339304
NA19256	7.04129677035509	7.43172404398968	6.91856904300093	11.6006516878834	9.92820784704935	10.6551992254128	13.3728567372861	6.5541198738909	12.8175684897395	7.20001351130483
NA19257	6.87543627003848	7.23299425853764	7.32748451002942	11.6152920125172	9.60284388389032	10.3817875778209	13.4604350787913	6.52184695283041	13.5748042261078	7.47530919339501
